Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class,Country
41505,-16.52650657,8.584971796,-18.64985319,9.505593515,-13.79381853,-2.832404299,-16.7016943,7.517343904,-8.507058637,-14.11018444,5.29923635,-10.83400648,1.671120253,-9.373858584,0.360805642,-9.899246541,-19.23629237,-8.398551995,3.101735369,-1.514923435,1.190738695,-1.127670009,-2.35857877,0.673461329,-1.413699675,-0.462762361,-2.018575249,-1.04280417,364.19,1,Australia
44261,0.339812064,-2.743745237,-0.134069511,-1.385729309,-1.451413321,1.015886594,-0.524379057,0.224060376,0.899746005,-0.565011684,-0.087670257,0.979426988,0.076882817,-0.217883812,-0.136829588,-2.14289209,0.126956065,1.752661508,0.432546224,0.506043885,-0.213435844,-0.942525025,-0.526819175,-1.156991897,0.31121051,-0.746646679,0.040995803,0.102037825,520.12,0,Germany
35484,1.399590269,-0.590701288,0.16861894,-1.029950325,-0.539806452,0.040444113,-0.712566691,0.002298594,-0.971747092,0.756800544,0.54382736,0.112452968,1.07538352,-0.245771983,0.180482805,1.76986004,-0.533172248,-0.533300338,1.192245219,0.212877195,0.102397693,0.168269339,-0.16663909,-0.81024968,0.505083112,-0.232340011,0.011408645,0.004634142,31,0,UK
167123,-0.432071136,1.647895223,-1.669360625,-0.349504272,0.785784725,-0.630646714,0.276990104,0.586024545,-0.484715183,-1.376648267,-1.328335491,0.223620681,1.132627038,-0.550875407,0.616567936,0.497974164,0.502195472,0.981342761,0.101263969,-0.244633313,0.358931566,0.873663217,-0.178641813,-0.017170773,-0.207391715,-0.157756437,-0.237385989,0.001934124,1.5,0,UK
168473,2.014160276,-0.13739402,-1.015838997,0.327268959,-0.182179329,-0.95657056,0.043240843,-0.160745983,0.363241203,0.259451902,0.942161999,0.85003765,-0.616165539,0.592633856,-0.603845391,0.091077246,-0.471866656,-0.333816385,0.40471133,-0.25529297,-0.238643844,-0.616400475,0.347044569,0.061561169,-0.360195622,0.174730015,-0.078043455,-0.070570509,0.89,0,France
67878,-0.641329679,-0.057303871,1.489998329,-1.688130948,-1.15104267,0.259995891,-1.391069407,-2.334075197,1.168643568,-2.084079935,0.480381323,0.473738382,-2.19227552,0.773941919,0.294483676,0.406074496,-0.541854848,1.031449685,0.017075838,0.618410694,-1.231634026,0.257164172,-0.371953018,-0.038566084,1.397513663,-0.665946912,0.031003039,0.180356653,100,0,Canada
159763,2.023951738,-0.120139756,-1.086918335,0.423019142,-0.142901392,-1.127751951,0.178493435,-0.303233536,0.564509209,0.062830722,-0.720047121,0.366835116,-0.110856961,0.31909374,0.108359159,-0.153633324,-0.22131236,-0.934141419,0.070552734,-0.210864484,-0.276174939,-0.697708395,0.335631348,-0.017196366,-0.324903691,0.200023173,-0.071566002,-0.058223879,16.99,0,UK
139631,-0.688943615,1.292153465,-0.564281405,-1.457525626,2.25833305,-0.323270488,1.678984452,-0.104127881,-1.285350748,-1.303434703,0.282728216,-0.402525063,-0.548687476,-0.504283286,-0.685339268,0.714828083,-0.092673636,0.798952997,-0.15008533,-0.0371504,-0.006879527,-0.171567515,-0.720019495,-0.419435298,1.211990674,0.670915582,-0.103986326,0.030084199,8.95,0,Germany
133944,2.119362494,0.142639231,-2.373337275,0.541948583,0.60841883,-1.775563906,0.955774503,-0.599382907,0.010419794,0.295304761,-0.936569156,-0.452477543,-1.340798452,1.077458613,-0.099583641,-0.815072366,0.018481087,-0.639446207,-0.065426717,-0.323573149,0.264264057,0.898265927,-0.168062721,0.059311174,0.626948964,0.729035484,-0.129119657,-0.094713348,10,0,Germany
58769,-5.584255807,-4.732412709,-0.44845174,-0.121442312,-0.707411881,-0.114375894,-1.55462809,1.40212558,-0.031693171,-0.942358121,-2.439501498,-0.552312042,-0.295587726,-0.250246079,-1.197731615,1.549552681,0.933236724,-1.237689487,0.416831613,-1.046900072,0.041650743,0.621789024,0.2234666,-0.770137053,0.621182198,-0.028737913,0.505194315,-1.898322773,101.49,0,Canada
